EVENT_CREATED_AT,Agency_ID,Provider_ID,REQUEST
2025-05-08 01:56:00.019,3686,968,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669356733ejca"", ""hotelCode"": 120161, ""rateDetailCode"": ""968-120161|NRFN|202505061400|1|M|R1250|12116"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""3220726f6f6d2073756974652d31206b696e67206265642d6e6f6e736d6f6b696e67|1""}]}, ""timeout"": 28000}"
2025-05-08 01:56:17.363,3686,577,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669372233xdXo"", ""hotelCode"": 218762, ""rateDetailCode"": ""577-218762|NRFN|202505060159|2|M|R1190|6317"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""31206b696e6720626564|1""}]}, ""timeout"": 28000}"
2025-05-08 01:56:17.520,3686,577,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669372233xdXo"", ""hotelCode"": 218762, ""rateDetailCode"": ""577-218762|NRFN|202505060159|1|M|R1190|6317"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""61636365737369626c65202d2031206b696e67|1""}]}, ""timeout"": 28000}"
2025-05-08 01:56:37.274,3686,1116,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669369658UARc"", ""hotelCode"": 362421, ""rateDetailCode"": ""1116-362421|NRFN|202505051000|2|M|R1200|16572"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""677565737420726f6f6d2c203220717565656e2c20736f666120626564|1""}]}, ""timeout"": 28000}"
2025-05-08 01:56:53.586,3686,319,"{""sessionId"": ""20250514|20250515|en_US|US|USD|2A0C|3686|HyWGR|1746669384764noAd"", ""hotelCode"": 141741, ""rateDetailCode"": ""319-141741|NRFN|TD|2|M|R1200|14715"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""7374616e64617264|1""}]}, ""timeout"": 28000}"
2025-05-08 01:56:56.820,3686,319,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669412866DSzq"", ""hotelCode"": 141587, ""rateDetailCode"": ""319-141587|NRFN|TD|5|M|R1200|10050"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""31206b696e6720626564207375697465|1""}]}, ""timeout"": 28000}"
2025-05-08 01:56:57.970,3686,1290,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669356733ejca"", ""hotelCode"": 120161, ""rateDetailCode"": ""1290-120161|NRFN|202505051000|2|M|R1200|12982"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""3220726f6f6d20636f726e65722073756974652d31206b696e67206265642d6e6f6e736d6f6b696e672c636f6d7020636f6f6b656420746f206f726465722062726b6673742d6576656e696e6720726563657074696f6e2c776966692061766c2d736c656570657220736f66612d6d6963726f776176652d726566726967657261746f722c|1""}]}, ""timeout"": 28000}"
2025-05-08 01:57:03.464,3686,1291,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669419873WoOR"", ""hotelCode"": 120161, ""rateDetailCode"": ""1291-120161|RFN|202505071000|2|M|R1200|13778"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""3220726f6f6d2073756974652d31206b696e67206265642d6e6f6e736d6f6b696e67|1""}]}, ""timeout"": 28000}"
2025-05-08 01:57:03.496,3686,1290,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669419873WoOR"", ""hotelCode"": 120161, ""rateDetailCode"": ""1290-120161|NRFN|202505051000|3|M|R1200|13895"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""3220726f6f6d2073756974652d20707572652077656c6c6e6573732d2031206b696e67206265642c776966692061766c2d736c656570657220736f66612d6d6963726f776176652d726566726967657261746f722c636f6d7020636f6f6b656420746f206f726465722062726b6673742d6576656e696e6720726563657074696f6e2c|1""}]}, ""timeout"": 28000}"
2025-05-08 01:57:12.065,3686,1281,"{""sessionId"": ""20250507|20250514|en_US|US|USD|2A0C|3686|HyWGR|1746669428325yHtA"", ""hotelCode"": 212851, ""rateDetailCode"": ""1281-212851|NRFN|202505051000|7|M|R1200|52072"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""3220646f75626c6520626564732c20736d6f6b696e67|1""}]}, ""timeout"": 28000}"
