Date,Hour,SUPPLIER,SUPPLIER_HOTEL_ID,HOTEL_NAME,StatusMessage
2025-05-08,9,nutmd,657987,Hilton Tanger City Center Hotel & Residences,
2025-05-08,9,nutmd,657987,Hilton Tanger City Center Hotel & Residences,
2025-05-08,9,nutmd,657987,Hilton Tanger City Center Hotel & Residences,
2025-05-08,9,nutmd,126571,Sonesta Select Chattanooga Hamilton Place,
2025-05-08,9,nutmd,251430,Zagame's House,
2025-05-08,9,nutmd,125919,Kona Seaside Hotel,
2025-05-08,9,nutmd,125919,Kona Seaside Hotel,
2025-05-08,9,nutmd,112922,New York Hilton Midtown,
2025-05-08,9,nutmd,349747,The B Akasaka-Mitsuke,
2025-05-08,9,nutmd,161293,Paris Las Vegas Resort & Casino,
2025-05-08,9,nutmd,161293,Paris Las Vegas Resort & Casino,
2025-05-08,9,nutmd,161293,Paris Las Vegas Resort & Casino,
2025-05-08,9,nutmd,349747,The B Akasaka-Mitsuke,
2025-05-08,9,nutmd,349747,The B Akasaka-Mitsuke,
2025-05-08,9,nutmd,349747,The B Akasaka-Mitsuke,
2025-05-08,9,nutmd,349747,The B Akasaka-Mitsuke,
2025-05-08,9,nutmd,448205,Liotrivi Historical Mansion & Boutique Hotel,
2025-05-08,9,nutmd,448205,Liotrivi Historical Mansion & Boutique Hotel,
2025-05-08,9,nutmd,1700272940,Mercure Pakenham,
2025-05-08,9,nutmd,144430,Ibis Milano Ca Granda,
2025-05-08,9,nutmd,111214,JW Marriott Miami Turnberry Resort & Spa,
2025-05-08,9,nutmd,142137,Sonesta San Jose - Milpitas,
2025-05-08,9,nutmd,748199,Pod Brooklyn,
2025-05-08,10,nutmd,170309,Hilton London Metropole,
2025-05-08,10,nutmd,202820,Knights Inn Madison Heights VA,
2025-05-08,10,nutmd,202820,Knights Inn Madison Heights VA,
2025-05-08,10,nutmd,202820,Knights Inn Madison Heights VA,
2025-05-08,10,nutmd,202820,Knights Inn Madison Heights VA,
2025-05-08,10,nutmd,202820,Knights Inn Madison Heights VA,
2025-05-08,10,nutmd,194470,Art Hotel Laguna Beach,
2025-05-08,10,nutmd,194470,Art Hotel Laguna Beach,
2025-05-08,10,nutmd,194470,Art Hotel Laguna Beach,
2025-05-08,10,nutmd,202820,Knights Inn Madison Heights VA,
2025-05-08,10,nutmd,202820,Knights Inn Madison Heights VA,
2025-05-08,10,nutmd,202820,Knights Inn Madison Heights VA,
2025-05-08,10,nutmd,344480,Hotel Katla By Keahotels,
2025-05-08,10,nutmd,344480,Hotel Katla By Keahotels,
2025-05-08,10,nutmd,344480,Hotel Katla By Keahotels,
2025-05-08,10,nutmd,344480,Hotel Katla By Keahotels,
2025-05-08,10,nutmd,232217,"Etrusco Arezzo Hotel, Sure Hotel Collection By Best Western",
2025-05-08,10,nutmd,232217,"Etrusco Arezzo Hotel, Sure Hotel Collection By Best Western",
2025-05-08,10,nutmd,232217,"Etrusco Arezzo Hotel, Sure Hotel Collection By Best Western",
2025-05-08,10,nutmd,232217,"Etrusco Arezzo Hotel, Sure Hotel Collection By Best Western",
2025-05-08,10,nutmd,232217,"Etrusco Arezzo Hotel, Sure Hotel Collection By Best Western",
2025-05-08,10,nutmd,232217,"Etrusco Arezzo Hotel, Sure Hotel Collection By Best Western",
2025-05-08,10,nutmd,235252,Hilton Tokyo,
2025-05-08,10,nutmd,235252,Hilton Tokyo,
2025-05-08,10,nutmd,235252,Hilton Tokyo,
2025-05-08,10,nutmd,235252,Hilton Tokyo,
2025-05-08,10,nutmd,169471,Comfort Inn,
2025-05-08,10,nutmd,169471,Comfort Inn,
2025-05-08,10,nutmd,121571,Best Western Springfield West Inn,
2025-05-08,10,nutmd,307197,Quest Brighton On The Bay,
2025-05-08,10,nutmd,169471,Comfort Inn,
2025-05-08,10,nutmd,307197,Quest Brighton On The Bay,
2025-05-08,10,nutmd,307197,Quest Brighton On The Bay,
