providerId,HOTEL_NAME,SUPPLIER_HOTEL_ID,hotelErrorCount
1063,Rivoli Select Hotel,228351,1
1063,Rodeway Inn,127469,1
1063,Rodeway Inn,881012,3
1063,Rodeway Inn & Suites,208772,2
1063,Rodeway Inn & Suites,267100,2
1063,Rodeway Inn St. Augustine Historic District,202939,2
1063,Sleep Inn,129566,1
1063,Sleep Inn & Suites - Airport,135070,1
1063,Sleep Inn & Suites Conference Center,242127,1
1063,Sleep Inn & Suites Indoor Waterpark,370192,1
1063,Sleep Inn Sarasota North,132613,3
1063,Sleep Inn South Jordan - Sandy,129898,1
1063,Sonesta Select Arlington Rosslyn,128702,1
1063,Sonesta Select Whippany Hanover,138217,5
1063,Sonesta Simply Suites Denver West Federal Center,146630,1
1063,Suburban Studios Monaca - Pittsburgh,797017,1
1063,Suburban Studios Roseville-Detroit North,1700146347,2
1063,SureStay Hotel By Best Western Fairfield Napa Valley,270326,1
1063,SureStay Plus Hotel By Best Western Sacramento Cal Expo,550027,6
1063,SureStay Plus Hotel By Best Western Sacramento North,642965,1
1063,The Chicago Hotel Collection Magnificent Mile,122910,1
1063,The Greenway Hotel & Spa,497698,1
1063,"The Hotel At Sunland Park Casino El Paso, Ascend Hotel Collection",698955,1
1063,The Hotel Zags Portland,133652,1
1063,"The Prussia Hotel, BW Signature Collection",212367,1
1063,Thistle London Heathrow Terminal 5,143163,3
1063,Vibe Hotel Subiaco Perth,1700161817,1
1063,"Winter The Dolphins Beach Club, Ascend Hotel Collection",108664,1
1063,Yavapai Lodge,488154,3
1063,easyHotel London Croydon,813012,1
1065,Americana Inn A Travelodge By Wyndham,633145,1
1065,Baymont By Wyndham Indianapolis West,126788,1
1065,Best Western Airport Inn,209953,1
1065,Best Western Burlington Inn,495574,6
1065,Best Western False River Hotel,727291,3
1065,Best Western Harbour Inn & Suites,242443,1
1065,Best Western Plus Carriage Inn,193224,1
1065,Best Western Plus Durham Hotel & Conference Centre,223241,2
1065,Bloc Hotel Birmingham,373350,1
1065,"Buchanan Arms Hotel & Leisure, Sure Hotel Collection",145525,1
1065,Cambria Hotel Fort Mill,2180000,1
1065,Clarion Hotel Conference Center - North,107633,1
1065,Clarion Inn & Suites,140289,1
1065,Clarion Pointe Atlanta Airport College Park,120415,1
1065,Comfort Inn,169471,1
1065,Comfort Inn & Suites,253290,1
1065,Comfort Inn & Suites Buffalo Airport,112297,3
1065,Comfort Inn & Suites Phoenix North / Deer Valley,134701,1
1065,Comfort Inn & Suites Presidential,170968,2
1065,Comfort Inn & Suites South,169016,1
1065,Comfort Inn Chester - Richmond South,113446,1
1065,Comfort Inn Glenmont - Albany South,122400,1
1065,Comfort Inn Hall Of Fame,126770,1
1065,Comfort Suites Greenville Airport,1700049912,1
1065,Comfort Suites Pittsburgh Airport,200303,3
1065,"Country Inn & Suites By Radisson, Bloomington-Normal West, IL",179797,3
1065,"Country Inn & Suites By Radisson, Pensacola West, FL",269726,1
1065,"Country Inn & Suites By Radisson, St. Cloud West, MN",116032,1
1065,Days Inn & Suites By Wyndham Ridgeland,169247,2
1065,Days Inn & Suites By Wyndham St. Louis/Westport Plaza,145359,1
1065,Days Inn By Wyndham Baton Rouge/I-10,386693,1
1065,Days Inn By Wyndham Chula Vista/San Diego,273005,1
1065,Days Inn By Wyndham Cincinnati I-71,127413,1
1065,Days Inn By Wyndham Columbus Fairgrounds,126422,1
1065,Days Inn By Wyndham Hicksville Long Island,121613,1
1065,Days Inn By Wyndham Pleasant Prairie Kenosha,161827,1
1065,Econo Lodge,220463,1
1065,Econo Lodge Fort Knox,127570,1
1065,Econo Lodge Inn & Suites Escondido Downtown,235139,1
1065,Econo Lodge Milldale - Southington,270845,1
1065,Econo Lodge New Reno-Sparks Convention Center,194572,1
1065,Hawthorn Extended Stay By Wyndham Richardson,115614,2
1065,Hawthorn Suites By Wyndham Williamsville Buffalo Airport,275844,2
1065,Holiday Inn Akron West - Fairlawn,107799,1
1065,Horseshoe Las Vegas,107128,1
1065,Howard Johnson By Wyndham Arlington Ballpark / Six Flags,142019,1
1065,Inntel Hotels Amsterdam Centre,127286,1
1065,La Quinta Inn & Suites By Wyndham Dallas South-DeSoto,269069,3
1065,Microtel Inn & Suites By Wyndham Augusta/Riverwatch,220347,1
1065,Microtel Inn & Suites By Wyndham Gambrills,1700161482,1
1065,Microtel Inn & Suites By Wyndham Jacksonville Airport,262716,1
1065,Microtel Inn & Suites By Wyndham Wilson,183784,1
1065,Microtel Inn By Wyndham Henrietta/Rochester,185171,1
1065,Motel 6 Denver Thornton,454140,1
1065,Ocean Court Beachfront Hotel,485390,1
1065,Park Grand London Heathrow,406359,1
1065,Park Inn By Radisson Fort Collins,455040,2
1065,Quality Inn,111226,1
1065,Quality Inn & Suites,131721,1
1065,Quality Inn & Suites,233919,1
1065,Quality Inn & Suites Columbus West - Hilliard,201909,1
1065,Quality Inn & Suites Palm Island Indoor Waterpark,149424,2
1065,Quality Inn & Suites Pensacola Bayview,106561,1
1065,Quality Inn Bridgeport-Clarksburg,118998,1
1065,Quality Inn Fort Dodge,107594,1
1065,Quality Inn Hinesville - Fort Stewart Area,391819,2
1065,Quality Inn Kingsport,195137,2
1065,Quality Inn Spring Valley - Nanuet,124296,2
1065,Quality Inn Weston,492710,1
1065,Radisson Hotel Schaumburg,108342,1
1065,Radisson San Jose-Costa Rica,128904,1
1065,Ramada By Wyndham SeaTac Airport North,141915,2
1065,Ramada By Wyndham SeaTac Airport North,987611,2
1065,Red Roof Inn Cortland,657822,1
1065,Red Roof Inn PLUS+ Pittsburgh South - Airport,127370,1
1065,Red Roof PLUS+ Chicago - Hoffman Estates,127400,1
1065,Rodeway Inn,127469,1
1065,Rodeway Inn,195417,1
1065,Rodeway Inn,460134,1
1065,Rodeway Inn Carlisle,125703,1
1065,Rodeway Inn Joint Base Andrews Area,535942,2
1065,Rodeway Inn Lyons - La Grange,251582,1
1065,Rodeway Inn Phoenix North I-17,443716,2
1065,Rodeway Inn Walterboro I-95,567218,1
1065,Sleep Inn & Suites Near Ft. Bragg,117493,2
1065,Sonesta San Jose - Milpitas,142137,1
1065,Sonesta Select Atlanta Norcross I-85,118881,1
1065,Sonesta Select Whippany Hanover,138217,5
1065,Suburban Studios Columbus East,105599,1
1065,Suburban Studios Roseville-Detroit North,1700146347,1
1065,Sunrise Inn,202809,3
1065,Super 8 By Wyndham Beckley,234961,4
1065,Super 8 By Wyndham Clarksville East,202013,1
1065,Super 8 By Wyndham Deerfield - Northbrook,127415,1
1065,Super 8 By Wyndham Greensboro/Coliseum/Conv.,201229,2
1065,Super 8 By Wyndham Greer/Spartanburg Area,201681,1
1065,Super 8 By Wyndham Milbank SD,248766,1
1065,Super 8 By Wyndham Monroe West,213764,1
1065,Super 8 By Wyndham North Bergen NJ/NYC Area,201844,1
1065,SureStay By Best Western Huntsville University Area,202763,1
1065,The Greenway Hotel & Spa,497698,1
1065,"The Hotel At Sunland Park Casino El Paso, Ascend Hotel Collection",698955,1
1065,"The Prussia Hotel, BW Signature Collection",212367,1
1065,Thistle London Heathrow Terminal 5,143163,1
1065,Travelodge By Wyndham Temple,223527,1
1065,Wingate By Wyndham Greenwood Village/Denver Tech,216619,1
1065,easyHotel London Croydon,813012,1
1116,Aloft Charlotte Ballantyne,328015,1
1116,Aloft Tulsa Downtown,435771,1
1116,AmericInn By Wyndham Peoria,507963,1
1116,Americas Best Value Inn Avenel Woodbridge,494325,1
1116,Americas Best Value Inn East Syracuse,185206,1
1116,Americas Best Value Inn Goldsboro,218122,11
1116,Americas Best Value Inn Heath Newark,221901,1
1116,Americas Best Value Inn Litchfield,199972,1
1116,Best Western Plus Concordville Hotel,509524,1
1116,Best Western Plus Gateway Inn & Suites,210950,1
1116,Britannia Hotel Manchester,124470,1
1116,Club Quarters Hotel In San Francisco,210688,1
1116,Country Comfort Perth,323949,1
1116,Courtyard By Marriott Amarillo Downtown,362421,1
1116,Courtyard By Marriott Danbury,212072,1
1116,Courtyard By Marriott Jacksonville Airport Northeast,118533,1
1116,Courtyard New York Manhattan/ Midtown East,138167,1
1116,Days Inn & Suites By Wyndham Ridgeland,169247,2
1116,Days Inn By Wyndham Baton Rouge/I-10,386693,1
1116,Days Inn By Wyndham Cincinnati I-71,127413,1
1116,Days Inn By Wyndham Geneva/Finger Lakes,378586,1
1116,Days Inn By Wyndham North Sioux City,132291,1
1116,Delta Hotels By Marriott Toronto,463419,1
1116,EXchange Hotel Vancouver,848272,2
1116,Econo Lodge Inn & Suites Mesa,109842,1
1116,Fairfield Inn & Suites By Marriott Denver Tech Center/South,132121,2
1116,Fairfield Inn & Suites By Marriott Framingham,1701618603,1
1116,Fairfield Inn & Suites Cincinnati Uptown/University Area,614110,2
1116,Fairmont Chateau Whistler,141106,1
1116,Four Seasons Hotel Toronto,115059,7
1116,Graduate Evanston,263379,1
1116,Hampton Inn & Suites Brenham,333043,1
1116,Hampton Inn & Suites Florence-Downtown,261610,1
1116,Hampton Inn Concord/Bow,124043,1
1116,Hampton Inn Lancaster,120973,2
1116,Hampton Inn Pawtucket,127145,1
1116,Hampton Inn Turnersville (Philadelphia Area),351629,2
1116,Hawthorn Suites By Wyndham Williamsville Buffalo Airport,275844,1
1116,Hilton Garden Inn Allentown Bethlehem Airport,199279,1
1116,Hilton Garden Inn Corpus Christi,256326,1
1116,Hilton Garden Inn Fayetteville Fort Bragg,232170,3
1116,Hilton Garden Inn Greensboro Airport,573159,3
1116,Hilton Garden Inn Preston Casino Area,421754,1
1116,Hilton Garden Inn Schaumburg,269521,1
1116,Hilton Garden Inn Spartanburg,1740386,1
